"Name", "Score", "Title"
Niepubliczna Szkoła Podstawowa SOKRATES - Gdańsk, P2G1_031
Szkoła GEDANENSIS - Gdańsk, P2G1_032
Szkoła Podstawowa nr 1 - Rumia, P2G1_033
Szkoła Językowa MOMA - Rumia, P2G1_034
Rodzinne Centrum Rozwoju KREATYWNI AKTYWNI - Toruń, P2G1_035
Niepubliczna Szkoła Podstawowa SKRZYDŁA [ekipa A] - Lublin, P2G1_036
Stowarzyszenie PO PROSTU - Słubice, P2G1_037
Społeczna Szkoła Podstawowa nr 2 S.T.O. - Poznań, P2G1_038
Niepubliczna Szkoła Podstawowa 4 PORY ROKU - Ciele, P2G1_039
Szkoła Podstawowa nr 199 - Łódź, P2G1_040
Zespół Szkół Społecznych - Kłodzko, P2G1_041
Szkoła Podstawowa DA VINCI - Poznań, P2G1_042
Szkoła Podstawowa nr 7 - Świdnik, P2G1_043
Szkoła Podstawowa w Szczawinie - Smardzew, P2G1_044
Społeczna Szkoła Podstawowa DĘBINKA - Poznań, P2G1_045
Szkoła ZARADNI-ODWAŻNI-ORYGINALNI - Środa Wielkopolska, P2G1_046
Pracownia Rozwoju i Psychoedukacji AFFIRMO - Namysłów, P2G1_047
Salezjańska Szkoła Podstawowa im. św. Dominika Savio - Lubin, P2G1_048
Szkoła Podstawowa nr 68 - Kraków, P2G1_049
Zespół Szkolno-Przedszkolny nr 16 - Wrocław, P2G1_050
Szkoła Podstawowa nr 11 - Nowy Targ, P2G1_051
Zespół Szkół FILOMATA - Gliwice, P2G1_052
SPP 7 STO ALE SZKOŁA KRAKOW, P2G1_053
Publiczna Szkoła Podstawowa nr 8 - Starogard Gdański, P2G2_054
Szkoła Podstawowa nr 6 - Rumia, P2G2_055
Szkoła Podstawowa nr 267 - Warszawa, P2G2_056
Społeczna Szkoła Podstawowa nr 1 S.T.O. - Łódź, P2G2_057
Prywatna Szkoła Podstawowa KUŹNIA TALENTÓW - Lusówko, P2G2_058
Niepubliczna Szkoła Podstawowa KLUCZ - Kętrzyn, P2G2_059
Zespół Społecznych Szkół Ogólnokształcących S.T.O. - Zakopane, P2G2_060
Rodzinne Centrum Rozwoju KREATYWNI AKTYWNI - Toruń, P2G2_061
Szkoła Podstawowa nr 2 - Augustów, P2G2_062
Zespół Szkół S.T.O. - Białystok, P2G2_063
Szkoła Podstawowa nr 7 - Świdnik, P2G2_064
Szkoła Podstawowa im. UNICEF - Bielany Wrocławskie, P2G2_065
Szkoły SPARK ACADEMY - Poznań, P2G2_066
Niepubliczna Szkoła Podstawowa SKRZYDŁA [ekipa A] - Lublin, P2G2_067
Szkoła GEDANENSIS - Gdańsk, P2G3_068
Zespół Szkół Centrum Kształcenia Zawodowego - Grubno, P2G3_069
Centrum Aktywnego Rozwoju KREATYWNIE POZYTYWNI - Wrocław, P2G3_070
Polsko-Japońska Akademia Technik Komputerowych - Gdańsk, P2G4_071
